Nama Produk;Harga;Diskon;Harga Sebelum Diskon;Lokasi;Toko;Rating;Terjual
biji benih kopi liberika kopi nangka super;Rp29.000;0%;Rp29.000;Kab. Probolinggo;Huseinws;4.0;Terjual 40+
Bibit Kopi Liberika Cabutan / Bibit Kopi Nangka;Rp1.000;0%;Rp1.000;Kab. Jember;Aretha_Herbal28;5.0;Terjual 250+
BUBUK KOPI ASLI ROBUSTA DAN LIBERIKA 100% KOPI TUBRUK HALUS;Rp57.000;0%;Rp57.000;Surakarta;kopikas Official;5.0;Terjual 30+
250gr Kopi Bali Pupuan Tabanan Robusta. Kopi Biji / Bubuk Mutiara Bali;Rp23.900;0%;Rp23.900;Kab. Badung;Kopi Bali Mutiara;4.9;Terjual 1 rb+
ARABICA BRAZIL CERRADO FAZENDA SANTA MARIA BIJI KOPI;Rp70.000;0%;Rp70.000;Medan;Coaster Roastery;5.0;Terjual 50+
Rancabali Shasika Pink (Arabica Specialty Coffee);Rp117.000;10%;Rp130.000;Jakarta Selatan;Smoking Barrels Coffee;5.0;Terjual 90+
Kopi Bubuk Arabika Aceh Gayo Takengon Kopi Hitam Arabica Coffee - 100gr,  Bubuk Halus;Rp20.000;0%;Rp20.000;Medan;Morfosa Coffee;5.0;Terjual 2
Kopi Bubuk Kapal Tanker Old - 780 Gr;Rp33.600;30%;Rp48.000;Kab. Tangerang;Kopi Kapal Tanker;5.0;Terjual 3 rb+
kopi Liberika Sumedang 250gr / Kopi Nangka;Rp45.000;0%;Rp45.000;Bandung;aridyu;5.0;Terjual 10
bibit kopi nangka kopi liberika;Rp13.900;0%;Rp13.900;Kab. Probolinggo;Huseinws;4.7;Terjual 100+
BIJI KOPI LIBERIKA/NANGKA GREEN BEAN 250GRAM SUPER 100%;Rp25.000;0%;Rp25.000;Kab. Situbondo;Bangzaa Herball;0;0
BIJI KOPI LIBERIKA MIX ARABIKA ROASTING 1KG SUPER;Rp72.000;6%;Rp77.000;Kab. Situbondo;Bangzaa Herball;5.0;Terjual 8
Biji Kopi Liberika Nangka Wine Proses 1kg;Rp50.000;0%;Rp50.000;Kab. Situbondo;Mustika Djamue;4.4;Terjual 100+
#NAME?;Rp22.000;0%;Rp22.000;Jakarta Barat;PETANI JKT;0;0
Kopi Liberco Liberika Sambas 200gr Kopi Bubuk Liber.co Coffee;Rp39.000;0%;Rp39.000;Kab. Sambas;Tukang Gudang;0;0
LIYBERUSKA DARK (liberika, robusta, arabica) KOPI BUBUK;Rp15.000;0%;Rp15.000;Jambi;RUMAH@kebunKOPI;0;Terjual 2
Benih Kopi Liberika / Bibit Kopi Liberika Bibit Tanaman Biji Kopi;Rp14.900;0%;Rp14.900;Kab. Bandung;Padi Simpati;4.0;Terjual 40+
BIBIT Pohon kopi/nangka/liberika;Rp20.000;0%;Rp20.000;Kab. Bogor;BIBIT_tanaman id;4.3;Terjual 30+
Roast Bean Kopi Liberika Artisan;Rp25.000;0%;Rp25.000;Kab. Tanjung Jabung Timur;peatlandcoffee;5.0;Terjual 6
BUBUK GILING KASAR KOPI LIBERIKA MIX ARABIKA NATURAL 1KG;Rp67.000;0%;Rp67.000;Kab. Situbondo;Bangzaa Herball;5.0;Terjual 3
Kopi Liberika Senduro Madrigal Coffee 250gr Pack Liberica Excelsa;Rp47.000;0%;Rp47.000;Surabaya;Madrigal Coffee Co.;4.7;Terjual 7
Kopi nangka liberika jawabarat mukapayung;Rp90.000;0%;Rp90.000;Semarang;Panna Coffee;4.9;Terjual 30+
GREENBEAN BIJI KOPI LIBERIKA ASALAN;Rp35.000;0%;Rp35.000;Kab. Lampung Barat;KINGRAW SHOP;5.0;Terjual 12
Bibit Tanaman Kopi Nangka (Liberika);Rp3.500;0%;Rp3.500;Kab. Jember;DIAN PERMATAKU;0;0
kopinoe. kopi murni100% kopi Liberika exelsa;Rp50.000;0%;Rp50.000;Kab. Jember;kopinoe;5.0;Terjual 70+
KOPI LIBERIKA WINE BUBUK CIBUNAR KUNINGAN;Rp30.000;0%;Rp30.000;Kab. Kuningan;SASADULUR KOPI;5.0;Terjual 9
BIJI KOPI LIBERIKA NATURAL GREEN BEAN 1KG;Rp60.000;0%;Rp60.000;Kab. Situbondo;Bangzaa Herball;5.0;Terjual 1
Bubuk Kopi Liberika atau Nangka 1kg;Rp60.000;0%;Rp60.000;Kab. Situbondo;Mustika Djamue;4.4;Terjual 50+
Bubuk Kopi Putih Liberika / Nangka 1kg (100% Original);Rp125.000;0%;Rp125.000;Kab. Bantul;ukupedia;0;0
Biji Kopi Liberika Meranti khas Riau 200gr;Rp60.000;0%;Rp60.000;Pekanbaru;Kopi Curah;5.0;Terjual 2
Biji Kopi Liberika Roasting 1kg (100% Original);Rp60.000;0%;Rp60.000;Kab. Situbondo;Mustika Djamue;4.3;Terjual 70+
Bubuk Kopi Liberika Nangka Wine Proses 1kg Kemasan Label Swalayan;Rp65.000;0%;Rp65.000;Kab. Situbondo;Mustika Djamue;4.0;Terjual 26
BIBIT KOPI LIBERIKA / BIBIT KOPI / NINU FARM / KEMASAN ASLI PABRIK;Rp18.000;0%;Rp18.000;Jakarta Utara;Celine Garden;0;Terjual 2
Kopi Liberika original 100gr;Rp25.000;0%;Rp25.000;Jakarta Barat;henzshops;5.0;Terjual 1
Benih Kopi Liberika 7Seeds;Rp10.400;0%;Rp10.400;Yogyakarta;NINUFARM;5.0;Terjual 30+
BIJI KOPI LIBERIKA LAMPUNG GRADE 1;Rp40.000;0%;Rp40.000;Kab. Lampung Barat;KINGRAW SHOP;4.7;Terjual 60+
Kopi Liberika Arjuno 1kg single origin biji/bubuk;Rp105.000;0%;Rp105.000;Surabaya;losecoffee;5.0;Terjual 10
Bubuk Kopi Liberika Mix Jahe Merah 1Kg Terbukti !!;Rp65.000;0%;Rp65.000;Kab. Situbondo;Bangzaa Herball;5.0;Terjual 3
Kopi Luak Liberika Sudah Sangrai;Rp70.000;0%;Rp70.000;Kab. Tanjung Jabung Barat;liberika coffe jambi;0;0
KOPI EXCELSA LIBERIKA TEMANGGUNG;Rp20.000;0%;Rp20.000;Kab. Temanggung;KEDU COFFEE;4.7;Terjual 3
Biji Kopi Liberika/Nangka 500gr;Rp30.000;0%;Rp30.000;Surabaya;Sarjana Kopi;5.0;Terjual 3
kopi liberika biji benih bibit kopi nangka atau liberika;Rp93.000;0%;Rp93.000;Bandung;Miska Celluler;0;0
Kopi Liberika Liberica Excelsa Merapi Biji Mentah Green Bean Asli;Rp246.000;0%;Rp246.000;Kab. Bandung;KenzieCoCo;0;0
BUBUK GILING KASAR KOPI ARABIKA WINE MIX LIBERIKA 1KG;Rp75.000;0%;Rp75.000;Kab. Situbondo;Bangzaa Herball;5.0;Terjual 2
kopi liberika kopinata;Rp60.000;0%;Rp60.000;Kab. Bantul;Kopi Decaf Nata;5.0;Terjual 100+
bibit tanaman kopi liberika nangka unggul siap tanam;Rp15.000;0%;Rp15.000;Kab. Tabanan;Moss Master;5.0;Terjual 5
Kopi Liberika Kopi Bedhag Djemberan 100 Gram;Rp22.900;0%;Rp22.900;Kab. Jember;ETNIKAN;0;0
BIJI KOPI LIBERIKA MIX ARABIKA ROASTING 500GRAM SUPER 100%;Rp53.000;0%;Rp53.000;Kab. Situbondo;Bangzaa Herball;0;0
KAPAL API Special Silver 380 gr;Rp24.700;11%;Rp27.900;Kab. Tangerang;Kapal Api Store;4.9;Terjual 3 rb+
HALU FRUITY CHOCOLATE | HONEY | SPECIALTY COFFEE ESPRESSO - 100gr;Rp65.000;0%;Rp65.000;Kab. Sleman;Hayati Coffee;5.0;Terjual 30+
Kepala Djenggot Coffee Bag Kopi Celup Extra Strong 70 gr;Rp20.000;5%;Rp21.100;Dilayani Tokopedia;Kepala Djenggot Official;5.0;Terjual 30+
MANTESA HIBISCUS TEA | THERMAL WASH | SPECIALTY COFFEE FILTER - 100gr;Rp60.000;0%;Rp60.000;Kab. Sleman;Hayati Coffee;5.0;Terjual 70+
Biji Kopi Bubuk Arabika Flores Bajawa Arabica Coffee Omni Roast Beans - 100 gram,  Biji Kopi;Rp42.999;52%;Rp89.900;Jakarta Barat;toko kopi kurawa;5.0;Terjual 1 rb+
Kopi Luwak High Class Medium Roast Bean 200gr Twin Pack;Rp139.600;8%;Rp152.000;-;Kopi Luwak Official;4.9;Terjual 250+
Kopi Luwak - Paket Ternikmat;Rp114.284;14%;Rp132.981;-;Kopi Luwak Official;5.0;Terjual 100+
Kopi Luwak Plus Gula Tebu Black Coffee Bag 10x25gr Twin Pack;Rp21.780;10%;Rp24.200;-;Kopi Luwak Official;5.0;Terjual 1 rb+
Kopi Double Deer 200 Gram (Biji Kopi Espresso Blend Full Arabica) - Whole Beans;Rp110.000;0%;Rp110.000;Jakarta Barat;Say Something Coffee;5.0;Terjual 50+
Kopi ADMIRAL Liberika 225gr - Bubuk;Rp59.000;0%;Rp59.000;Kab. Bogor;INDIBRO COFFEE;5.0;Terjual 4
KOPI ARABIKA MALABAR 200gr FULL WASHED (BIJI / BUBUK) - FUGOL COFFEE;Rp73.000;0%;Rp73.000;Bandung;Fugol Coffee;5.0;Terjual 750+
Kopi Bubuk Blend Robusta & Liberika 250gr | Kopi 100% Murni 250 gr;Rp25.000;0%;Rp25.000;Kab. Sidoarjo;Anekasari88;0;0
Biji Kopi 100% Full Arabica Mandheling Roasted Commercial - BEST PRICE;Rp165.000;0%;Rp165.000;Jakarta Utara;VOTRRO Coffee;4.9;Terjual 10 rb+
Kopi Liberika Bubuk Hitam Liberica Excelsa Cap AAA Nefo Jambi 100gram;Rp16.500;0%;Rp16.500;Jakarta Barat;SaddhaShop;5.0;Terjual 500+
Bibit Tanaman Kopi Nangka (Liberika) Tinggi 40-70cm Super;Rp6.666;5%;Rp7.000;Kediri;Febry Bibit ID;5.0;Terjual 30+
Kopi Biji/Green Bean Liberika Jambi 1Kg;Rp45.000;0%;Rp45.000;Kab. Bekasi;Percaya 27;5.0;Terjual 29
Kopi Nangka 1Kg biasa disebut Liberika atau Excelsa Khas Dari Semeru;Rp119.000;0%;Rp119.000;Kab. Lumajang;Kopi Juara.Id;4.7;Terjual 40+
KOPI GREEN BEAN LIBERIKA ANGGUR GOOLD CIBUNAR 1Kg;Rp150.000;0%;Rp150.000;Kab. Kuningan;SASADULUR KOPI;5.0;Terjual 2
Kopi Nangka 200Gr atau Kopi Liberika Excelsa Produk Kopi Juara;Rp30.000;0%;Rp30.000;Kab. Lumajang;Kopi Juara.Id;5.0;Terjual 90+
Kopi Liberika Sumedang 1kg / Kopi Nangka;Rp150.000;0%;Rp150.000;Bandung;aridyu;4.9;Terjual 100+
BIJI KOPI LIBERIKA ORIGINAL IJEN GREEN BEAN 500GRAM SUPER 100%;Rp35.000;0%;Rp35.000;Kab. Situbondo;Bangzaa Herball;5.0;Terjual 1
Kopi Liberika Liberica Excelsa Merapi Biji Mentah Green Bean Asli 1kg;Rp107.900;0%;Rp107.900;Kab. Sleman;Jogjabika Store;5.0;Terjual 15
Bibit Kopi Nangka atau Liberika;Rp3.500;0%;Rp3.500;Kab. Jember;DIAN NUR FAMILY;4.8;Terjual 100+
Tiga Tujuh 1kg - Biji Kopi Grosir 1kg | Coffeenatics;Rp120.000;0%;Rp120.000;Medan;Coffeenatics;5.0;Terjual 100+
ARUTALA Kopi Italian Blend for Espresso Coffee 200 gram;Rp49.999;20%;Rp62.500;Tangerang;Arutala Online Co.;4.9;Terjual 6 rb+
Kopi Luwak Liar Gayo Arabica 200gr;Rp140.000;0%;Rp140.000;Medan;Morfosa Coffee;4.9;Terjual 60+
Kopi Bubuk Kapal Tanker New - 780 Gr;Rp33.600;30%;Rp48.000;Kab. Tangerang;Kopi Kapal Tanker;5.0;Terjual 3 rb+
Kopi Tubruk Bubuk Arabika Espresso Blend Coffee Sakha Roastery 100gr - Kopi Tubruk;Rp19.900;30%;Rp28.500;Bekasi;Sakha Coffee Roastery;4.9;Terjual 1 rb+
BIJI KOPI GREENBEAN LIBERIKA;Rp37.500;0%;Rp37.500;Kab. Lampung Barat;KINGRAW SHOP;4.9;Terjual 60+
kopi liberika wongkae;Rp15.000;0%;Rp15.000;Kab. Brebes;Bilqis Olstore;5.0;Terjual 30+
Kopi Nangka atau Liberika Greenbean Biji Kopi Mentah 1Kg;Rp40.000;0%;Rp40.000;Kab. Lumajang;Kopi Juara.Id;4.7;Terjual 25
Kopi Nangka 500Gr atau Kopi Liberika Excelsa Produk Kopi Juara;Rp60.000;0%;Rp60.000;Kab. Lumajang;Kopi Juara.Id;4.8;Terjual 40+
Kopi Liberika Natural Biji Kopi Matang atau Bubuk 200gram;Rp40.000;11%;Rp45.000;Tangerang;VROOM COFFEE ROASTERY;4.7;Terjual 21
BIJI KOPI LIBERIKA NATURAL GREEN BEAN 100GRAM KEMASAN BOTOL SUPER 100%;Rp18.000;0%;Rp18.000;Kab. Situbondo;Bangzaa Herball;5.0;Terjual 1
Biji Kopi Liberika Wine Proses Roasting 1kg (100% Original);Rp60.000;0%;Rp60.000;Kab. Situbondo;Mustika Djamue;4.7;Terjual 60+
biji benih kopi liberika kopi nangka super;Rp29.000;0%;Rp29.000;Kab. Probolinggo;Huseinws;4.0;Terjual 40+
Bibit Kopi Liberika Cabutan / Bibit Kopi Nangka;Rp1.000;0%;Rp1.000;Kab. Jember;Aretha_Herbal28;5.0;Terjual 250+
BUBUK KOPI ASLI ROBUSTA DAN LIBERIKA 100% KOPI TUBRUK HALUS;Rp57.000;0%;Rp57.000;Surakarta;kopikas Official;5.0;Terjual 30+
Rancabali Shasika Pink (Arabica Specialty Coffee);Rp117.000;10%;Rp130.000;Jakarta Selatan;Smoking Barrels Coffee;5.0;Terjual 90+
250gr Kopi Bali Pupuan Tabanan Robusta. Kopi Biji / Bubuk Mutiara Bali;Rp23.900;0%;Rp23.900;Kab. Badung;Kopi Bali Mutiara;4.9;Terjual 1 rb+
ARABICA BRAZIL CERRADO FAZENDA SANTA MARIA BIJI KOPI;Rp70.000;0%;Rp70.000;Medan;Coaster Roastery;5.0;Terjual 50+
Kopi Bubuk Arabika Aceh Gayo Takengon Kopi Hitam Arabica Coffee - 100gr,  Bubuk Halus;Rp20.000;0%;Rp20.000;Medan;Morfosa Coffee;5.0;Terjual 2
Kopi Bubuk Kapal Tanker Old - 780 Gr;Rp33.600;30%;Rp48.000;Kab. Tangerang;Kopi Kapal Tanker;5.0;Terjual 3 rb+
kopi Liberika Sumedang 250gr / Kopi Nangka;Rp45.000;0%;Rp45.000;Bandung;aridyu;5.0;Terjual 10
bibit kopi nangka kopi liberika;Rp13.900;0%;Rp13.900;Kab. Probolinggo;Huseinws;4.7;Terjual 100+
BIJI KOPI LIBERIKA/NANGKA GREEN BEAN 250GRAM SUPER 100%;Rp25.000;0%;Rp25.000;Kab. Situbondo;Bangzaa Herball;0;0
BIJI KOPI LIBERIKA MIX ARABIKA ROASTING 1KG SUPER;Rp72.000;6%;Rp77.000;Kab. Situbondo;Bangzaa Herball;5.0;Terjual 8
Biji Kopi Liberika Nangka Wine Proses 1kg;Rp50.000;0%;Rp50.000;Kab. Situbondo;Mustika Djamue;4.4;Terjual 100+
#NAME?;Rp22.000;0%;Rp22.000;Jakarta Barat;PETANI JKT;0;0
Kopi Liberco Liberika Sambas 200gr Kopi Bubuk Liber.co Coffee;Rp39.000;0%;Rp39.000;Kab. Sambas;Tukang Gudang;0;0
LIYBERUSKA DARK (liberika, robusta, arabica) KOPI BUBUK;Rp15.000;0%;Rp15.000;Jambi;RUMAH@kebunKOPI;0;Terjual 2
Benih Kopi Liberika / Bibit Kopi Liberika Bibit Tanaman Biji Kopi;Rp14.900;0%;Rp14.900;Kab. Bandung;Padi Simpati;4.0;Terjual 40+
BIBIT Pohon kopi/nangka/liberika;Rp20.000;0%;Rp20.000;Kab. Bogor;BIBIT_tanaman id;4.3;Terjual 30+
Roast Bean Kopi Liberika Artisan;Rp25.000;0%;Rp25.000;Kab. Tanjung Jabung Timur;peatlandcoffee;5.0;Terjual 6
BUBUK GILING KASAR KOPI LIBERIKA MIX ARABIKA NATURAL 1KG;Rp67.000;0%;Rp67.000;Kab. Situbondo;Bangzaa Herball;5.0;Terjual 3
Kopi Liberika Senduro Madrigal Coffee 250gr Pack Liberica Excelsa;Rp47.000;0%;Rp47.000;Surabaya;Madrigal Coffee Co.;4.7;Terjual 7
Kopi nangka liberika jawabarat mukapayung;Rp90.000;0%;Rp90.000;Semarang;Panna Coffee;4.9;Terjual 30+
GREENBEAN BIJI KOPI LIBERIKA ASALAN;Rp35.000;0%;Rp35.000;Kab. Lampung Barat;KINGRAW SHOP;5.0;Terjual 12
Bibit Tanaman Kopi Nangka (Liberika);Rp3.500;0%;Rp3.500;Kab. Jember;DIAN PERMATAKU;0;0
kopinoe. kopi murni100% kopi Liberika exelsa;Rp50.000;0%;Rp50.000;Kab. Jember;kopinoe;5.0;Terjual 70+
KOPI LIBERIKA WINE BUBUK CIBUNAR KUNINGAN;Rp30.000;0%;Rp30.000;Kab. Kuningan;SASADULUR KOPI;5.0;Terjual 9
BIJI KOPI LIBERIKA NATURAL GREEN BEAN 1KG;Rp60.000;0%;Rp60.000;Kab. Situbondo;Bangzaa Herball;5.0;Terjual 1
Bubuk Kopi Liberika atau Nangka 1kg;Rp60.000;0%;Rp60.000;Kab. Situbondo;Mustika Djamue;4.4;Terjual 50+
Bubuk Kopi Putih Liberika / Nangka 1kg (100% Original);Rp125.000;0%;Rp125.000;Kab. Bantul;ukupedia;0;0
Biji Kopi Liberika Meranti khas Riau 200gr;Rp60.000;0%;Rp60.000;Pekanbaru;Kopi Curah;5.0;Terjual 2
Biji Kopi Liberika Roasting 1kg (100% Original);Rp60.000;0%;Rp60.000;Kab. Situbondo;Mustika Djamue;4.3;Terjual 70+
Bubuk Kopi Liberika Nangka Wine Proses 1kg Kemasan Label Swalayan;Rp65.000;0%;Rp65.000;Kab. Situbondo;Mustika Djamue;4.0;Terjual 26
BIBIT KOPI LIBERIKA / BIBIT KOPI / NINU FARM / KEMASAN ASLI PABRIK;Rp18.000;0%;Rp18.000;Jakarta Utara;Celine Garden;0;Terjual 2
Kopi Liberika original 100gr;Rp25.000;0%;Rp25.000;Jakarta Barat;henzshops;5.0;Terjual 1
Benih Kopi Liberika 7Seeds;Rp10.400;0%;Rp10.400;Yogyakarta;NINUFARM;5.0;Terjual 30+
BIJI KOPI LIBERIKA LAMPUNG GRADE 1;Rp40.000;0%;Rp40.000;Kab. Lampung Barat;KINGRAW SHOP;4.7;Terjual 60+
Kopi Liberika Arjuno 1kg single origin biji/bubuk;Rp105.000;0%;Rp105.000;Surabaya;losecoffee;5.0;Terjual 10
Bubuk Kopi Liberika Mix Jahe Merah 1Kg Terbukti !!;Rp65.000;0%;Rp65.000;Kab. Situbondo;Bangzaa Herball;5.0;Terjual 3
Kopi Luak Liberika Sudah Sangrai;Rp70.000;0%;Rp70.000;Kab. Tanjung Jabung Barat;liberika coffe jambi;0;0
KOPI EXCELSA LIBERIKA TEMANGGUNG;Rp20.000;0%;Rp20.000;Kab. Temanggung;KEDU COFFEE;4.7;Terjual 3
Biji Kopi Liberika/Nangka 500gr;Rp30.000;0%;Rp30.000;Surabaya;Sarjana Kopi;5.0;Terjual 3
kopi liberika biji benih bibit kopi nangka atau liberika;Rp93.000;0%;Rp93.000;Bandung;Miska Celluler;0;0
Kopi Liberika Liberica Excelsa Merapi Biji Mentah Green Bean Asli;Rp246.000;0%;Rp246.000;Kab. Bandung;KenzieCoCo;0;0
BUBUK GILING KASAR KOPI ARABIKA WINE MIX LIBERIKA 1KG;Rp75.000;0%;Rp75.000;Kab. Situbondo;Bangzaa Herball;5.0;Terjual 2
kopi liberika kopinata;Rp60.000;0%;Rp60.000;Kab. Bantul;Kopi Decaf Nata;5.0;Terjual 100+
bibit tanaman kopi liberika nangka unggul siap tanam;Rp15.000;0%;Rp15.000;Kab. Tabanan;Moss Master;5.0;Terjual 5
Kopi Liberika Kopi Bedhag Djemberan 100 Gram;Rp22.900;0%;Rp22.900;Kab. Jember;ETNIKAN;0;0
BIJI KOPI LIBERIKA MIX ARABIKA ROASTING 500GRAM SUPER 100%;Rp53.000;0%;Rp53.000;Kab. Situbondo;Bangzaa Herball;0;0
